"year_sale";"month_sale";"IDATVEND";"ETAMANHO";"PORTO";"zona";"EESPECIE";"tipo_barco";"estrato_lei";"anonPRT";"QVENDA";"VVENDA";"DiaSemana";"PMED";"tipos_barcos3"
"2006";"Jun";2006-06-27;"2";"SINES";"Centro";"Sardinha";"traineira";"16-40";"bdc";720;419,94;"Tue";0,58;"Traineira"
"2010";"Oct";2010-10-30;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"aed";11000;3980;"Sat";0,36;"Traineira"
"2009";"Sep";2009-09-08;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"aed";672;477,84;"Tue";0,71;"Traineira"
"2006";"Sep";2006-09-01;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"ahb";1057,5;823,46;"Fri";0,78;"Traineira"
"2010";"Aug";2010-08-28;"4";"SINES";"Centro";"Sardinha";"traineira";"16-40";"aha";2604;1153,35;"Sat";0,44;"Traineira"
"2008";"Jul";2008-07-09;"4";"SETUBAL";"Centro";"Cavala";"traineira";"16-40";"bde";2405;865,8;"Wed";0,36;"Traineira"
"2008";"Jun";2008-06-25;"4";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"bjb";270;370,8;"Wed";1,37;"Traineira"
"2008";"Apr";2008-04-24;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"agh";3375;1839,36;"Thu";0,54;"Traineira"
"2005";"Aug";2005-08-16;"6";"LAGOS";"Sul";"Carapau-Branco";"traineira";"16-40";"aci";427,4;1200,18;"Tue";2,81;"Traineira"
"2007";"Sep";2007-09-26;"2";"PORTIMAO";"Sul";"Sardinha";"traineira";"16-40";"baa";1280;716;"Wed";0,56;"Traineira"
"2009";"Apr";2009-04-30;"3";"OLHAO";"Sul";"Cavala";"traineira";"16-40";"adf";72;58,44;"Thu";0,81;"Traineira"
"2007";"Jan";2007-01-10;"SemTam";"PENICHE";"Centro";"Outros";"traineira";"16-40";"bag";47,5;120,83;"Wed";2,54;"Traineira"
"2006";"Apr";2006-04-18;"3";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"aie";18;30,6;"Tue";1,7;"Traineira"
"2008";"Apr";2008-04-16;"6";"NAZARE";"Centro";"Carapau-Branco";"traineira";"16-40";"bba";108;324;"Wed";3;"Traineira"
"2008";"Jul";2008-07-21;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"abe";4185;1982,8;"Mon";0,47;"Traineira"
"2009";"Feb";2009-02-07;"3";"QUARTEIRA";"Sul";"Outros";"traineira";"16-40";"aaf";4,5;15,53;"Sat";3,45;"Traineira"
"2009";"Aug";2009-08-14;"2";"LAGOS";"Sul";"Sardinha";"traineira";"16-40";"aci";1176,9;2232,75;"Fri";1,9;"Traineira"
"2007";"Jan";2007-01-11;"4";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"aie";264;528;"Thu";2;"Traineira"
"2006";"Aug";2006-08-23;"2";"PORTIMAO";"Sul";"Sardinha";"traineira";"16-40";"bif";2124;3047,16;"Wed";1,43;"Traineira"
"2005";"Jul";2005-07-19;"5";"OLHAO";"Sul";"Carapau-Branco";"traineira";"16-40";"aed";1000;2400;"Tue";2,4;"Traineira"
"2008";"Feb";2008-02-07;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"agb";3960;1842,53;"Thu";0,47;"Traineira"
"2005";"Jan";2005-01-05;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"abi";5000;3300;"Wed";0,66;"Traineira"
"2009";"Jul";2009-07-25;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"adf";284;478,76;"Sat";1,69;"Traineira"
"2010";"Oct";2010-10-22;"4";"MATOSINHOS";"Norte";"Cavala";"traineira";"16-40";"aic";337,5;82,5;"Fri";0,24;"Traineira"
"2006";"Jun";2006-06-24;"3";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"bbb";7852,5;4539,3;"Sat";0,58;"Traineira"
"2009";"Nov";2009-11-10;"4";"SETUBAL";"Centro";"Outros";"traineira";"16-40";"bde";4,5;3,83;"Tue";0,85;"Traineira"
"2010";"Jul";2010-07-30;"6";"MATOSINHOS";"Norte";"Carapau-Branco";"traineira";"16-40";"adj";162;264,6;"Fri";1,63;"Traineira"
"2005";"Jun";2005-06-07;"3";"QUARTEIRA";"Sul";"Sardinha";"traineira";"16-40";"aaf";3270;1311,6;"Tue";0,4;"Traineira"
"2008";"Apr";2008-04-24;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"abh";6975;3523,32;"Thu";0,51;"Traineira"
"2006";"Oct";2006-10-23;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"aei";3487,5;3295,3;"Mon";0,94;"Traineira"
"2007";"Mar";2007-03-13;"5";"SETUBAL";"Centro";"Carapau-Branco";"traineira";"16-40";"bjb";3318;2255,88;"Tue";0,68;"Traineira"
"2007";"Jun";2007-06-09;"4";"OLHAO";"Sul";"Outros";"traineira";"16-40";"aed";60;43,08;"Sat";0,72;"Traineira"
"2008";"Jan";2008-01-21;"4";"PENICHE";"Centro";"Outros";"traineira";"16-40";"bfg";84,5;150,92;"Mon";1,79;"Traineira"
"2005";"Apr";2005-04-12;"4";"SINES";"Centro";"Cavala";"traineira";"16-40";"abb";432;75,82;"Tue";0,18;"Traineira"
"2010";"Nov";2010-11-12;"2";"PENICHE";"Centro";"Cavala";"traineira";"16-40";"bcb";1940;968,15;"Fri";0,5;"Traineira"
"2010";"May";2010-05-11;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"abi";2500;1000;"Tue";0,4;"Traineira"
"2009";"Apr";2009-04-15;"3";"OLHAO";"Sul";"Outros";"traineira";"16-40";"aed";105;60;"Wed";0,57;"Traineira"
"2007";"Jan";2007-01-12;"2";"SINES";"Centro";"Sardinha";"traineira";"16-40";"abb";1780;569,66;"Fri";0,32;"Traineira"
"2009";"Aug";2009-08-10;"4";"MATOSINHOS";"Norte";"Cavala";"traineira";"16-40";"bdj";6390;1045,72;"Mon";0,16;"Traineira"
"2006";"May";2006-05-25;"3";"SETUBAL";"Centro";"Carapau-Branco";"traineira";"16-40";"bee";14,4;70,8;"Thu";4,92;"Traineira"
"2010";"Aug";2010-08-19;"4";"MATOSINHOS";"Norte";"Cavala";"traineira";"16-40";"age";720;288,55;"Thu";0,4;"Traineira"
"2010";"Feb";2010-02-11;"4";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"agj";36;67,2;"Thu";1,87;"Traineira"
"2005";"May";2005-05-24;"3";"FIGUEIRA DA FOZ";"Norte";"Sardinha";"traineira";"16-40";"bbe";810;268,44;"Tue";0,33;"Traineira"
"2010";"Jul";2010-07-06;"2";"FIGUEIRA DA FOZ";"Norte";"Sardinha";"traineira";"16-40";"bdg";10552,5;6075,95;"Tue";0,58;"Traineira"
"2008";"Mar";2008-03-14;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"bgi";2610;1291,74;"Fri";0,49;"Traineira"
"2009";"Jul";2009-07-16;"2";"SINES";"Centro";"Sardinha";"traineira";"16-40";"abc";1736;2918,71;"Thu";1,68;"Traineira"
"2008";"Jan";2008-01-29;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"aed";10000;5350;"Tue";0,54;"Traineira"
"2007";"Oct";2007-10-03;"4";"OLHAO";"Sul";"Cavala";"traineira";"16-40";"afj";2175;316,95;"Wed";0,15;"Traineira"
"2006";"May";2006-05-30;"3";"OLHAO";"Sul";"Cavala";"traineira";"16-40";"aed";16;10,56;"Tue";0,66;"Traineira"
"2006";"Oct";2006-10-24;"3";"PENICHE";"Centro";"Outros";"traineira";"16-40";"bfg";38;322,85;"Tue";8,5;"Traineira"
"2009";"Nov";2009-11-18;"4";"SETUBAL";"Centro";"Carapau-Branco";"traineira";"16-40";"abg";588;440,88;"Wed";0,75;"Traineira"
"2005";"Sep";2005-09-23;"4";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"bfe";630;189;"Fri";0,3;"Traineira"
"2009";"Sep";2009-09-30;"4";"SESIMBRA";"Centro";"Cavala";"traineira";"16-40";"agj";640;108,8;"Wed";0,17;"Traineira"
"2008";"Feb";2008-02-14;"4";"NAZARE";"Centro";"Sardinha";"traineira";"16-40";"agd";1687,5;2707;"Thu";1,6;"Traineira"
"2008";"Aug";2008-08-30;"4";"SESIMBRA";"Centro";"Cavala";"traineira";"16-40";"abg";9000;2636;"Sat";0,29;"Traineira"
"2009";"Nov";2009-11-03;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"bfi";7830;3573,2;"Tue";0,46;"Traineira"
"2007";"Jul";2007-07-25;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"bfb";4995;3965,45;"Wed";0,79;"Traineira"
"2005";"Sep";2005-09-27;"4";"OLHAO";"Sul";"Cavala";"traineira";"16-40";"bej";2800;390;"Tue";0,14;"Traineira"
"2007";"Nov";2007-11-23;"3";"OLHAO";"Sul";"Carapau-Branco";"traineira";"16-40";"bhb";78;250,7;"Fri";3,21;"Traineira"
"2007";"Jul";2007-07-19;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"bfe";1080;832,8;"Thu";0,77;"Traineira"
"2010";"Sep";2010-09-22;"3";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"aie";1499,4;1054,23;"Wed";0,7;"Traineira"
"2009";"Aug";2009-08-25;"2";"PORTIMAO";"Sul";"Sardinha";"traineira";"16-40";"ajf";1155;857,52;"Tue";0,74;"Traineira"
"2006";"Jul";2006-07-05;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"bda";112,5;112,5;"Wed";1;"Traineira"
"2010";"Jun";2010-06-22;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"adj";5535;3801,6;"Tue";0,69;"Traineira"
"2009";"Jun";2009-06-18;"3";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"bjb";108;93,6;"Thu";0,87;"Traineira"
"2009";"Jul";2009-07-20;"5";"SETUBAL";"Centro";"Outros";"traineira";"16-40";"bde";59;46,91;"Mon";0,8;"Traineira"
"2007";"Dec";2007-12-07;"4";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"bjb";424,3;530,41;"Fri";1,25;"Traineira"
"2008";"Aug";2008-08-26;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"bia";11272,5;7115,85;"Tue";0,63;"Traineira"
"2005";"May";2005-05-17;"2";"LAGOS";"Sul";"Sardinha";"traineira";"16-40";"aci";79;116,99;"Tue";1,48;"Traineira"
"2007";"Aug";2007-08-30;"5";"PORTIMAO";"Sul";"Outros";"traineira";"16-40";"bif";2000;601,12;"Thu";0,3;"Traineira"
"2005";"Dec";2005-12-19;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"aia";765;1034;"Mon";1,35;"Traineira"
"2007";"Nov";2007-11-23;"SemTam";"SETUBAL";"Centro";"Outros";"traineira";"16-40";"bee";299,4;1421,13;"Fri";4,75;"Traineira"
"2008";"Jul";2008-07-24;"4";"SETUBAL";"Centro";"Carapau-Branco";"traineira";"16-40";"agj";1848;1429,2;"Thu";0,77;"Traineira"
"2006";"May";2006-05-10;"4";"QUARTEIRA";"Sul";"Carapau-Branco";"traineira";"16-40";"adc";431,2;908,38;"Wed";2,11;"Traineira"
