"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"2005-01-13";0,24;0,24;0,57;0,57;4,5;4,5;0;0;3,03;3,03;"OLHAO"
"2005-01-14";0;0;0,48;0,48;3,15;3,15;3,19;3,19;2,78;2,78;"SETUBAL"
"2005-01-21";0;0;0,53;0,53;5,81;5,81;0;0;3,8;3,8;"OLHAO"
"2005-01-28";0;0;0,92;0,92;2,2;2,2;0;0;0;0;"MATOSINHOS"
"2005-01-28";0;0;0,71;0,71;3,37;3,37;0;0;0;0;"AVEIRO"
"2005-01-28";0;0;0;0;6,16;6,16;0;0;0;0;"FIGUEIRA DA FOZ"
"2005-01-29";0;0;0,65;0,65;2,29;2,29;0;0;0;0;"OLHAO"
"2005-02-01";0;0;0,45;0,45;3,29;3,29;1,77;1,77;2,87;2,87;"SETUBAL"
"2005-02-01";0;0;0,78;0,78;6,03;6,03;0;0;0;0;"OLHAO"
"2005-02-02";0;0;0,45;0,45;3,83;3,83;0,91;0,91;7,14;7,14;"SETUBAL"
"2005-02-03";0;0;0,46;0,46;1,25;1,25;4,5;4,5;5,49;5,49;"SESIMBRA"
"2005-02-09";0,58;0,58;0,59;0,59;3,76;3,76;6,98;6,98;3,67;3,67;"OLHAO"
"2005-02-19";0,1;0,1;0,74;0,74;1,6;1,6;0;0;4,18;4,18;"OLHAO"
"2005-02-23";0,17;0,17;0,4;0,4;2;2;0;0;0;0;"OLHAO"
"2005-02-24";0;0;0,72;0,72;3,86;3,86;0;0;2,5;2,5;"SETUBAL"
"2005-02-24";0,11;0,11;0,52;0,52;3,34;3,34;0;0;0;0;"OLHAO"
"2005-02-25";0,52;0,52;0,56;0,56;4,08;4,08;0;0;0;0;"OLHAO"
"2005-03-10";0,29;0,29;0,86;0,86;4,97;4,97;0;0;0;0;"OLHAO"
"2005-03-11";0,3;0,3;0,61;0,61;3;3;0;0;0;0;"OLHAO"
"2005-03-22";0,16;0,16;0,79;0,79;5;5;0;0;4,52;4,52;"OLHAO"
