"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"2005-01-03";0;0;6727,5;6727,5;0;0;45151;45151;5102,8;5102,8;"PENICHE"
"2005-01-03";0;0;0;0;0;0;6,9;6,9;174;174;"SESIMBRA"
"2005-01-03";0;0;0;0;0;0;5246;5246;209,5;209,5;"SETUBAL"
"2005-01-04";557,5;557,5;65092,5;65092,5;0;0;774;774;2454,5;2454,5;"PENICHE"
"2005-01-04";0;0;2660;2660;0;0;20406;20406;2351,8;2351,8;"SESIMBRA"
"2005-01-04";0;0;0;0;0;0;7050,3;7050,3;432,6;432,6;"SETUBAL"
"2005-01-04";2808;2808;10056;10056;0;0;62;62;1612,3;1612,3;"SINES"
"2005-01-04";45;45;615;615;0;0;80;80;0;0;"OLHAO"
"2005-01-04";69,5;69,5;1110;1110;0;0;11,2;11,2;246,7;246,7;"QUARTEIRA"
"2005-01-05";0;0;0;0;0;0;195,1;195,1;2022,4;2022,4;"SESIMBRA"
"2005-01-05";0;0;0;0;0;0;2573,6;2573,6;1182,6;1182,6;"SETUBAL"
"2005-01-05";1200;1200;27000;27000;0;0;1133,2;1133,2;0;0;"SINES"
"2005-01-06";1800;1800;94185;94185;0;0;1944;1944;1488,3;1488,3;"PENICHE"
"2005-01-06";0;0;5840;5840;0;0;4564,9;4564,9;1655,5;1655,5;"SESIMBRA"
"2005-01-06";0;0;26,2;26,2;0;0;7682,2;7682,2;3524,2;3524,2;"SETUBAL"
"2005-01-06";216;216;7632;7632;0;0;789;789;4;4;"SINES"
"2005-01-06";20358;20358;2816;2816;0;0;6;6;0;0;"OLHAO"
"2005-01-07";49747,5;49747,5;0;0;0;0;4140;4140;5639,8;5639,8;"PENICHE"
"2005-01-07";0;0;17976,1;17976,1;0;0;1858,9;1858,9;132,6;132,6;"SESIMBRA"
"2005-01-07";0;0;135,7;135,7;0;0;285,6;285,6;1308,4;1308,4;"SETUBAL"
"2005-01-07";0;0;17856;17856;0;0;3578,1;3578,1;6924,7;6924,7;"SINES"
"2005-01-08";0;0;984;984;0;0;3866,1;3866,1;174,2;174,2;"SESIMBRA"
"2005-01-08";1128;1128;28296;28296;0;0;168;168;168;168;"SINES"
"2005-01-10";0;0;0;0;0;0;9,2;9,2;117,6;117,6;"SESIMBRA"
"2005-01-10";0;0;108,6;108,6;0;0;693,1;693,1;1652,7;1652,7;"SETUBAL"
"2005-01-11";0;0;7105;7105;0;0;3204,8;3204,8;424,1;424,1;"SESIMBRA"
"2005-01-11";0;0;0;0;0;0;2521,8;2521,8;1640,5;1640,5;"SETUBAL"
