"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"01/08/2014";0,3;0,3;1,41;1,41;1,5;1,5;0;0;0;0;"VIANA DO CASTELO"
"01/09/2014";0,26;0,26;1,27;1,27;1,4;1,4;0,33;0,33;0;0;"VIANA DO CASTELO"
"01/05/2015";0;0;1,23;1,23;1,5;1,5;0,77;0,77;11,3;11,3;"VIANA DO CASTELO"
"01/06/2015";0,31;0,31;1,46;1,46;1,2;1,2;0,92;0,92;0,78;0,78;"VIANA DO CASTELO"
"01/07/2015";0,31;0,31;2,54;2,54;1,42;1,42;0,57;0,57;3,05;3,05;"VIANA DO CASTELO"
"01/11/2015";0;0;0;0;1,5;1,5;0,68;0,68;1,54;1,54;"VIANA DO CASTELO"
"01/09/2016";0,32;0,32;1,83;1,83;1,38;1,38;0,93;0,93;2,32;2,32;"VIANA DO CASTELO"
"01/06/2017";0,45;0,45;1,47;1,47;1,5;1,5;0,5;0,5;0;0;"VIANA DO CASTELO"
"01/07/2017";0,35;0,35;1,76;1,76;1,5;1,5;0,5;0,5;9,15;9,15;"VIANA DO CASTELO"
"01/08/2017";0,35;0,35;1,79;1,79;1,5;1,5;0,5;0,5;10,03;10,03;"VIANA DO CASTELO"
"01/10/2017";0,35;0,35;1,75;1,75;1,5;1,5;0,5;0,5;3,51;3,51;"VIANA DO CASTELO"
"01/11/2017";0,35;0,35;0;0;1,5;1,5;0,5;0,5;2,32;2,32;"VIANA DO CASTELO"
"01/02/2018";0;0;0;0;1,45;1,45;0,47;0,47;2,1;2,1;"VIANA DO CASTELO"
"01/05/2018";0,35;0,35;1,76;1,76;1,5;1,5;0,88;0,88;0,2;0,2;"VIANA DO CASTELO"
"01/06/2018";0,35;0,35;1,55;1,55;1,5;1,5;0,63;0,63;0;0;"VIANA DO CASTELO"
"01/07/2018";0,35;0,35;1,69;1,69;1,5;1,5;2,75;2,75;0;0;"VIANA DO CASTELO"
"01/08/2018";0,35;0,35;1,75;1,75;1,5;1,5;1,51;1,51;6,82;6,82;"VIANA DO CASTELO"
"01/09/2018";0,35;0,35;1,63;1,63;1,5;1,5;0,92;0,92;0;0;"VIANA DO CASTELO"
"01/10/2018";0,36;0,36;0;0;1,5;1,5;0,5;0,5;5,07;5,07;"VIANA DO CASTELO"
"01/01/2019";0;0;0;0;0,97;0,97;0;0;4;4;"VIANA DO CASTELO"
"01/02/2019";0;0;0;0;0,97;0,97;0,48;0,48;4,22;4,22;"VIANA DO CASTELO"
