"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"2005-01-01";0;0;800530;800530;90;90;306;306;10,7;10,7;"MATOSINHOS"
"2007-04-01";1214,5;1214,5;628920;628920;4545;4545;0;0;26,6;26,6;"MATOSINHOS"
"2007-05-01";177853,2;177853,2;1300972,5;1300972,5;4882,5;4882,5;234;234;1421,7;1421,7;"MATOSINHOS"
"2007-06-01";172867,5;172867,5;1428052,5;1428052,5;585;585;4032;4032;654,5;654,5;"MATOSINHOS"
"2007-07-01";294502,5;294502,5;1928610;1928610;337,5;337,5;1386;1386;654,6;654,6;"MATOSINHOS"
"2007-08-01";211545;211545;1942537,5;1942537,5;1372,5;1372,5;1728;1728;10874,5;10874,5;"MATOSINHOS"
"2007-09-01";343102,5;343102,5;2221425;2221425;652,5;652,5;25272;25272;10528,8;10528,8;"MATOSINHOS"
"2007-10-01";422595;422595;1982497,5;1982497,5;80519,9;80519,9;612;612;1976,1;1976,1;"MATOSINHOS"
"2007-11-01";155835;155835;831850,4;831850,4;57577,5;57577,5;8550;8550;1181,4;1181,4;"MATOSINHOS"
"2007-12-01";42952,5;42952,5;1364490;1364490;4185;4185;18;18;44,1;44,1;"MATOSINHOS"
"2008-01-01";37935;37935;1140975;1140975;697,5;697,5;1728;1728;24,8;24,8;"MATOSINHOS"
"2008-02-01";4432,5;4432,5;1901295;1901295;14445;14445;59,9;59,9;2357,9;2357,9;"MATOSINHOS"
"2008-03-01";0;0;11250;11250;945;945;9544,2;9544,2;4686,4;4686,4;"MATOSINHOS"
"2008-04-01";52942,5;52942,5;836437,5;836437,5;450;450;1728;1728;10592,2;10592,2;"MATOSINHOS"
"2008-05-01";199057,5;199057,5;1841490;1841490;5017,5;5017,5;4737,4;4737,4;980,5;980,5;"MATOSINHOS"
"2008-09-01";322195,4;322195,4;1825492,5;1825492,5;562,5;562,5;12859,2;12859,2;1424,6;1424,6;"MATOSINHOS"
"2008-10-01";197947,3;197947,3;1980247,5;1980247,5;427,5;427,5;521,7;521,7;7119,8;7119,8;"MATOSINHOS"
"2008-11-01";83201,5;83201,5;1510987,5;1510987,5;6570;6570;0;0;630;630;"MATOSINHOS"
"2009-05-01";20205;20205;1783260;1783260;585;585;6552;6552;14180,2;14180,2;"MATOSINHOS"
"2009-06-01";89235;89235;1722622,5;1722622,5;180;180;10782;10782;5758;5758;"MATOSINHOS"
"2009-09-01";233829,9;233829,9;2563627,5;2563627,5;2880;2880;32760;32760;2241,7;2241,7;"MATOSINHOS"
"2009-10-01";247612,5;247612,5;1699402,5;1699402,5;585;585;10998;10998;3286;3286;"MATOSINHOS"
"2009-12-01";15367,5;15367,5;603135;603135;3600;3600;900;900;256,5;256,5;"MATOSINHOS"
"2010-01-01";1215;1215;872797,5;872797,5;1507,5;1507,5;144;144;83,3;83,3;"MATOSINHOS"
"2010-06-01";46440;46440;1652422,5;1652422,5;450;450;23814;23814;3352,5;3352,5;"MATOSINHOS"
"2010-07-01";150345;150345;2037555;2037555;585;585;19836;19836;7490,2;7490,2;"MATOSINHOS"
"2010-09-01";1195582,5;1195582,5;2277000;2277000;22,5;22,5;26568;26568;2829,4;2829,4;"MATOSINHOS"
"2010-10-01";109417,5;109417,5;2067075;2067075;3262,5;3262,5;11718;11718;3748,5;3748,5;"MATOSINHOS"
"2010-11-01";22455;22455;2191770;2191770;1552,5;1552,5;87030;87030;18045,2;18045,2;"MATOSINHOS"
"2010-12-01";945;945;814185;814185;1822,5;1822,5;72036;72036;348,6;348,6;"MATOSINHOS"
"2005-01-01";0;0;6367,5;6367,5;12240;12240;0;0;0;0;"AVEIRO"
"2005-11-01";6118,3;6118,3;176557,5;176557,5;1327,5;1327,5;2574;2574;0;0;"AVEIRO"
"2006-02-01";0;0;33232,5;33232,5;22,5;22,5;1757,5;1757,5;9,6;9,6;"AVEIRO"
"2007-08-01";24480;24480;101160;101160;22,5;22,5;0;0;1085,7;1085,7;"AVEIRO"
"2007-09-01";39712,5;39712,5;395325;395325;225;225;612;612;59,4;59,4;"AVEIRO"
"2007-10-01";43945;43945;738652,5;738652,5;9135;9135;672,7;672,7;28,8;28,8;"AVEIRO"
"2007-11-01";18720;18720;601132,5;601132,5;13522,5;13522,5;0;0;74,6;74,6;"AVEIRO"
"2008-01-01";5872,5;5872,5;107662,5;107662,5;517,5;517,5;0;0;0;0;"AVEIRO"
"2008-02-01";0;0;156960;156960;517,5;517,5;684;684;0;0;"AVEIRO"
"2008-10-01";72607,5;72607,5;872415;872415;157,5;157,5;2159,2;2159,2;150,9;150,9;"AVEIRO"
"2008-11-01";74070;74070;946708,6;946708,6;1507,5;1507,5;2568,1;2568,1;4406,4;4406,4;"AVEIRO"
"2008-12-01";1125;1125;80955;80955;180;180;0;0;0;0;"AVEIRO"
"2010-03-01";0;0;9517,5;9517,5;67,5;67,5;0;0;0;0;"AVEIRO"
"2010-04-01";0;0;177165;177165;382,5;382,5;198;198;22,5;22,5;"AVEIRO"
"2010-12-01";0;0;121590;121590;7627,5;7627,5;4230;4230;0;0;"AVEIRO"
"2005-01-01";0;0;118462,5;118462,5;3037,5;3037,5;0;0;8,6;8,6;"FIGUEIRA DA FOZ"
"2005-11-01";51705;51705;1200835,3;1200835,3;5805;5805;4140;4140;581;581;"FIGUEIRA DA FOZ"
"2005-12-01";1080;1080;502335;502335;2891;2891;5373;5373;486;486;"FIGUEIRA DA FOZ"
"2006-01-01";49140;49140;238500;238500;11137,5;11137,5;1134;1134;232,2;232,2;"FIGUEIRA DA FOZ"
"2007-04-01";585;585;379192,5;379192,5;21352,5;21352,5;0;0;27;27;"FIGUEIRA DA FOZ"
"2007-05-01";8617,5;8617,5;642262,5;642262,5;967,5;967,5;0;0;80,2;80,2;"FIGUEIRA DA FOZ"
"2007-08-01";44415;44415;1079730;1079730;22,5;22,5;472,5;472,5;2138,5;2138,5;"FIGUEIRA DA FOZ"
"2007-09-01";266692,5;266692,5;1738147,5;1738147,5;2272,5;2272,5;0;0;364;364;"FIGUEIRA DA FOZ"
"2007-10-01";158512,5;158512,5;2578657,5;2578657,5;196938;196938;11358;11358;5743,4;5743,4;"FIGUEIRA DA FOZ"
"2007-11-01";121177,4;121177,4;2691292,5;2691292,5;19225;19225;8856;8856;1241,8;1241,8;"FIGUEIRA DA FOZ"
